original_author,year,opposition,other,ruling,polarity_yearly
BharadwajSpeaks,2020.0,14,15,251,0.8943396226415095
BharadwajSpeaks,2021.0,86,238,2292,0.9276703111858705
BharadwajSpeaks,2022.0,2,4,41,0.9069767441860465
BharadwajSpeaks,2023.0,0,4,8,1.0
Bharat24Liv,2022.0,67,28,195,0.48854961832061067
Bharat24Liv,2023.0,126,72,385,0.5068493150684932
BhavikaKapoor5,2020.0,3635,42,2,-0.9989001924663184
BhavikaKapoor5,2021.0,8271,716,15,-0.99637943519189
BhavikaKapoor5,2022.0,2203,211,0,-1.0
BhavikaKapoor5,2023.0,2921,354,19,-0.9870748299319728
Bhimarmy_BEM,2020.0,75,3,1,-0.9736842105263158
Bhimarmy_BEM,2021.0,33,8,4,-0.7837837837837838
Bhimarmy_BEM,2022.0,15,0,0,-1.0
Bhimarmy_BEM,2023.0,4,0,0,-1.0
BhootSantosh,2020.0,1684,93,6,-0.9928994082840237
BhootSantosh,2021.0,10346,2560,167,-0.9682298107105488
BhootSantosh,2022.0,5375,843,7,-0.9973987365291713
BhootSantosh,2023.0,808,226,0,-1.0
BiharTakChannel,2020.0,156,5,10,-0.8795180722891566
BiharTakChannel,2021.0,456,58,86,-0.6826568265682657
BiharTakChannel,2022.0,162,24,185,0.06628242074927954
BiharTakChannel,2023.0,157,22,252,0.23227383863080683
BloodDonorsIn,2020.0,543,80,563,0.018083182640144666
BloodDonorsIn,2021.0,961,249,646,-0.19601742377100187
BloodDonorsIn,2022.0,239,54,175,-0.15458937198067632
BloodDonorsIn,2023.0,36,18,86,0.4098360655737705
BloomsburyIndia,2020.0,2,0,2,0.0
BloomsburyIndia,2021.0,1,1,35,0.9444444444444444
BloomsburyIndia,2022.0,0,1,3,1.0
BloomsburyIndia,2023.0,4,1,11,0.4666666666666667
BoltaHindustan,2020.0,845,19,3,-0.9929245283018868
BoltaHindustan,2021.0,3483,261,47,-0.973371104815864
BoltaHindustan,2022.0,7964,866,284,-0.9311348205625606
BoltaHindustan,2023.0,6409,1165,126,-0.9614384085692426
BramhRakshas,2020.0,396,14,3,-0.9849624060150376
BramhRakshas,2021.0,2560,399,17,-0.9868063639891347
BramhRakshas,2022.0,780,78,0,-1.0
BrutIndia,2020.0,366,50,39,-0.8074074074074075
BrutIndia,2021.0,564,75,68,-0.7848101265822784
BrutIndia,2022.0,608,59,69,-0.7961595273264401
BrutIndia,2023.0,109,8,14,-0.7723577235772358
ByRakeshSimha,2020.0,6,4,113,0.8991596638655462
ByRakeshSimha,2021.0,8,44,581,0.9728353140916808
ByRakeshSimha,2022.0,8,26,705,0.9775596072931276
ByRakeshSimha,2023.0,1,11,133,0.9850746268656716
CMMadhyaPradesh,2020.0,1297,56,3642,0.47479246811095366
CMMadhyaPradesh,2021.0,1632,195,5767,0.5588593053115286
CMMadhyaPradesh,2022.0,1672,455,6495,0.590547324598996
CMMadhyaPradesh,2023.0,2612,551,6851,0.4479551939131354
CMOGuj,2020.0,108,704,11615,0.9815746822485711
CMOGuj,2021.0,299,3326,32377,0.9816991063777696
CMOGuj,2022.0,639,3306,28342,0.9559021427832027
CMOGuj,2023.0,176,1998,9321,0.9629356638938612
CMOMaharashtra,2020.0,6167,10522,441,-0.8665254237288136
CMOMaharashtra,2021.0,5120,12793,291,-0.8924413232304564
CMOMaharashtra,2022.0,1029,4221,1655,0.23323397913561847
CMOMaharashtra,2023.0,63,101,1756,0.9307311709730621
CMOfficeUP,2020.0,639,240,11312,0.8930633419797507
CMOfficeUP,2021.0,173,686,14987,0.9771767810026385
CMOfficeUP,2022.0,510,1199,6706,0.8586474501108647
CMOfficeUP,2023.0,63,311,2536,0.9515198153135821
CMofKarnataka,2020.0,77,15,1636,0.9100992410974897
CMofKarnataka,2021.0,87,55,2675,0.9370021723388848
CMofKarnataka,2022.0,29,45,1615,0.9647201946472019
CMofKarnataka,2023.0,1395,52,122,-0.8391562294001318
CNBCTV18News,2020.0,158,10,134,-0.0821917808219178
CNBCTV18News,2021.0,144,18,261,0.28888888888888886
CNBCTV18News,2022.0,136,32,209,0.21159420289855072
CNBCTV18News,2023.0,66,24,67,0.007518796992481203
CNNnews18,2020.0,1212,155,1432,0.0832072617246596
CNNnews18,2021.0,1469,172,1910,0.1305119857946138
CNNnews18,2022.0,1216,331,2186,0.28512639623750735
CNNnews18,2023.0,736,165,771,0.023224950232249502
COVIDNewsByMIB,2020.0,69,193,1156,0.8873469387755102
COVIDNewsByMIB,2021.0,98,852,4726,0.9593698175787728
COVIDNewsByMIB,2022.0,1,3,134,0.9851851851851852
COVIDNewsByMIB,2023.0,0,0,5,1.0
CPMumbaiPolice,2020.0,278,75,179,-0.21663019693654267
CPMumbaiPolice,2021.0,222,44,38,-0.7076923076923077
CPMumbaiPolice,2022.0,71,12,7,-0.8205128205128205
CPMumbaiPolice,2023.0,5,1,2,-0.42857142857142855
CestMoiz,2020.0,15,4,203,0.8623853211009175
CestMoiz,2021.0,6,34,356,0.9668508287292817
CestMoiz,2022.0,14,30,147,0.8260869565217391
CestMoiz,2023.0,1,0,53,0.9629629629629629
Chatterj1Asking,2020.0,18,97,1131,0.9686684073107049
Chatterj1Asking,2021.0,137,752,4227,0.9372135655362053
Chatterj1Asking,2022.0,176,821,3814,0.9117794486215539
Chatterj1Asking,2023.0,2,168,501,0.9920477137176938
Chellaney,2020.0,418,18,255,-0.24219910846953938
Chellaney,2021.0,411,29,683,0.24862888482632542
